sgRNA	Gene	T0_rep1	T0_rep2	DMSO_rep1	DMSO_rep2	Drug_rep1	Drug_rep2	DrugHi_rep1	DrugHi_rep2
BRD4_sg2	BRD4	426	318	437	289	476	330	346	385
BRD4_sg3	BRD4	397	425	421	389	644	467	513	315
BRD4_sg4	BRD4	223	326	186	425	380	404	258	309
BRD7_sg1	BRD7	412	680	771	622	754	718	455	453
BRD7_sg2	BRD7	457	748	380	519	484	530	356	540
BRD7_sg3	BRD7	534	545	345	460	322	373	690	658
BRD7_sg4	BRD7	277	364	420	361	308	336	470	247
BRD8_sg1	BRD8	777	1000	931	1082	1328	1397	1198	942
BRD8_sg2	BRD8	843	874	748	872	1433	1256	910	1150
BRD8_sg3	BRD8	1418	1276	1627	1318	1160	1688	1182	1345
BRD8_sg4	BRD8	1382	969	1013	1082	806	1014	928	944
BRDT_sg1	BRDT	1276	845	912	937	1520	909	977	801
BRDT_sg2	BRDT	1096	1207	1107	1186	1004	1323	1297	986
BRDT_sg3	BRDT	1272	1146	804	1286	1601	882	1009	906
BRDT_sg4	BRDT	1212	935	1009	1172	756	1078	737	725
BRF1_sg1	BRF1	852	819	915	909	538	702	1043	871
BRF1_sg2	BRF1	544	763	769	613	740	562	607	789
BRF1_sg3	BRF1	1057	1108	1203	850	702	796	948	653
BRF1_sg4	BRF1	966	917	1076	716	556	519	634	626
BRF2_sg1	BRF2	802	722	495	451	510	570	556	496
BRF2_sg2	BRF2	630	527	764	405	361	438	772	737
BRF2_sg3	BRF2	351	691	346	448	592	580	614	415
BRF2_sg4	BRF2	558	510	600	563	353	502	494	393
BRIP1_sg1	BRIP1	1336	1254	1010	1246	377	440	259	262
BRIP1_sg2	BRIP1	1032	1396	1339	1173	472	374	282	195
BRIP1_sg3	BRIP1	1158	1057	1102	932	370	428	109	146
BRIP1_sg4	BRIP1	1190	1321	1500	1441	424	416	291	248
BRIX1_sg1	BRIX1	806	848	779	963	1085	741	1389	991
BRIX1_sg2	BRIX1	1191	1570	1916	1198	1662	1346	1616	1649
BRIX1_sg3	BRIX1	755	1044	727	734	1231	716	1072	824
BRIX1_sg4	BRIX1	658	1129	1238	771	967	414	984	939
BRMS1L_sg1	BRMS1L	773	1109	935	812	760	880	963	658
BRMS1L_sg2	BRMS1L	1103	1146	959	702	1115	1304	1502	984
BRMS1L_sg3	BRMS1L	1162	709	817	985	957	841	1306	957
BRMS1L_sg4	BRMS1L	987	776	749	787	688	668	622	690
BRPF3_sg1	BRPF3	1149	1014	699	1066	885	876	1121	1177
BRPF3_sg2	BRPF3	1499	1075	1417	1802	579	1054	1351	1030
BRPF3_sg3	BRPF3	1145	1517	883	883	1344	1686	1100	1100
BRPF3_sg4	BRPF3	1688	1330	1079	834	1870	1934	1323	995
BRSK1_sg1	BRSK1	1176	759	842	868	1097	1015	670	763
BRSK1_sg2	BRSK1	526	812	1204	1178	925	896	915	771
BRSK1_sg3	BRSK1	939	935	930	435	976	1317	1079	606
BRSK1_sg4	BRSK1	760	1235	602	1100	619	1311	468	918
BRWD1_sg1	BRWD1	1025	905	977	977	862	697	1059	973
BRWD1_sg2	BRWD1	812	978	812	724	661	867	927	866
BRWD1_sg3	BRWD1	526	800	1023	962	650	762	774	659
BRWD1_sg4	BRWD1	898	766	893	597	999	627	677	971
BSPRY_sg1	BSPRY	237	413	240	294	333	274	402	175
BSPRY_sg2	BSPRY	456	469	313	278	262	295	397	288
BSPRY_sg3	BSPRY	517	321	495	371	360	483	551	327
BSPRY_sg4	BSPRY	279	359	512	335	330	214	461	378
BTBD8_sg1	BTBD8	1177	1234	930	1064	1099	915	1038	751
BTBD8_sg2	BTBD8	1465	1122	1075	793	1428	1266	1622	1459
BTBD8_sg3	BTBD8	1304	1001	797	1291	894	617	1431	1206
BTBD8_sg4	BTBD8	1160	1090	1204	764	1172	843	1287	1194
BTD_sg1	BTD	516	731	619	604	670	471	579	392
BTD_sg2	BTD	609	652	765	592	292	292	354	327
BTD_sg3	BTD	351	588	885	513	405	340	336	584
BTD_sg4	BTD	574	679	893	864	608	756	576	890
BTK_sg1	BTK	628	833	761	587	777	539	1024	672
BTK_sg2	BTK	542	570	703	646	490	591	775	937
BTK_sg3	BTK	261	532	735	728	760	587	908	403
BTK_sg4	BTK	455	571	697	616	939	580	772	667
BUD31_sg1	BUD31	507	421	461	437	709	470	441	429
BUD31_sg2	BUD31	645	621	520	416	755	716	678	251
BUD31_sg3	BUD31	664	779	660	549	725	446	722	685
BUD31_sg4	BUD31	403	541	393	467	500	574	592	557
BYSL_sg1	BYSL	188	182	362	223	298	224	302	267
BYSL_sg2	BYSL	283	350	285	552	376	277	349	382
BYSL_sg3	BYSL	294	225	274	238	402	319	307	218
BYSL_sg4	BYSL	274	233	249	231	183	287	253	227
C10orf107_sg1	C10orf107	748	626	577	387	732	630	583	505
C10orf107_sg2	C10orf107	445	555	377	450	451	426	596	548
C10orf107_sg3	C10orf107	600	486	608	429	407	496	493	530
C10orf107_sg4	C10orf107	593	385	568	506	319	289	516	379
C10orf11_sg1	C10orf11	805	602	1103	743	422	582	545	799
C10orf11_sg2	C10orf11	1064	1025	654	865	706	781	589	1026
C10orf11_sg3	C10orf11	778	934	846	788	856	614	605	701
C10orf11_sg4	C10orf11	740	932	1116	1198	1053	1155	740	867
C10orf12_sg1	C10orf12	283	169	132	138	183	160	183	185
C10orf12_sg2	C10orf12	191	280	203	178	170	179	256	234
C10orf12_sg3	C10orf12	167	255	196	200	170	190	280	238
C10orf12_sg4	C10orf12	216	194	160	121	202	172	210	180
C10orf128_sg1	C10orf128	530	688	348	610	362	445	497	444
C10orf128_sg2	C10orf128	524	548	712	952	621	497	708	707
C10orf128_sg3	C10orf128	531	375	543	478	547	341	389	585
C10orf128_sg4	C10orf128	272	288	372	474	319	217	350	359
C10orf137_sg1	C10orf137	587	263	543	337	385	470	491	517
C10orf137_sg2	C10orf137	817	644	839	534	888	668	729	665
C10orf137_sg3	C10orf137	428	436	321	389	630	421	524	511
C10orf137_sg4	C10orf137	537	1106	490	411	428	565	387	625
C10orf32_sg1	C10orf32	533	469	545	590	765	583	552	325
C10orf32_sg2	C10orf32	557	395	1050	385	687	709	816	543
C10orf32_sg3	C10orf32	415	571	391	630	529	525	642	548
C10orf32_sg4	C10orf32	895	620	659	810	859	1069	764	1145
C10orf67_sg1	C10orf67	1167	1104	926	1589	1104	632	1631	1098
C10orf67_sg2	C10orf67	1175	1441	1721	2031	1973	1533	1357	1717
C10orf67_sg3	C10orf67	1344	1130	1358	2519	679	1434	939	1013
C10orf67_sg4	C10orf67	1056	1331	1055	1548	1257	1355	998	923
C11orf21_sg1	C11orf21	1115	920	934	877	1432	1025	1017	958
C11orf21_sg2	C11orf21	969	687	753	566	645	971	623	789
C11orf21_sg3	C11orf21	1141	935	853	1117	1356	1079	807	873
C11orf21_sg4	C11orf21	1156	981	1263	1413	700	1092	493	1225
C11orf35_sg1	C11orf35	309	251	372	507	289	289	559	519
C11orf35_sg2	C11orf35	341	370	368	339	318	244	294	310
C11orf35_sg3	C11orf35	286	376	346	312	203	249	420	344
C11orf35_sg4	C11orf35	276	193	325	420	354	286	301	271
C11orf42_sg1	C11orf42	443	378	540	170	388	332	201	323
C11orf42_sg2	C11orf42	302	178	432	267	257	294	395	318
C11orf42_sg3	C11orf42	335	245	434	385	261	450	278	303
C11orf42_sg4	C11orf42	252	229	185	256	189	320	270	190
C11orf48_sg1	C11orf48	866	824	745	573	442	1116	995	471
C11orf48_sg2	C11orf48	737	776	804	1005	629	773	784	743
C11orf48_sg3	C11orf48	886	920	746	975	1093	993	626	663
C11orf48_sg4	C11orf48	876	961	881	923	963	829	549	836
C11orf52_sg1	C11orf52	851	982	1166	914	1161	1453	1686	941
C11orf52_sg2	C11orf52	981	1043	1318	1641	993	1114	1284	808
C11orf52_sg3	C11orf52	1291	1068	1376	727	757	932	940	748
C11orf52_sg4	C11orf52	1283	538	1052	1427	1307	966	851	604
C11orf57_sg1	C11orf57	675	900	632	650	657	672	849	951
C11orf57_sg2	C11orf57	829	544	906	817	737	586	610	925
C11orf57_sg3	C11orf57	386	528	606	531	508	614	351	534
C11orf57_sg4	C11orf57	773	453	573	391	475	302	482	696
C11orf65_sg1	C11orf65	236	170	135	130	377	117	119	256
C11orf65_sg2	C11orf65	184	245	170	286	282	222	131	158
C11orf65_sg3	C11orf65	232	162	264	136	259	340	271	211
C11orf65_sg4	C11orf65	194	184	144	180	187	195	351	129
C11orf71_sg1	C11orf71	1027	785	889	900	1061	923	825	1206
C11orf71_sg2	C11orf71	582	493	726	704	415	829	665	671
C11orf71_sg3	C11orf71	411	616	644	521	814	633	448	743
C11orf71_sg4	C11orf71	697	589	773	1108	860	664	1245	659
C11orf80_sg1	C11orf80	186	171	153	224	183	199	127	116
C11orf80_sg2	C11orf80	117	141	183	131	112	185	134	81
C11orf80_sg3	C11orf80	261	174	187	181	128	136	222	154
C11orf80_sg4	C11orf80	182	157	220	229	187	187	195	151
C11orf85_sg1	C11orf85	901	1179	1553	901	1189	807	1000	1072
C11orf85_sg2	C11orf85	1238	1230	885	2198	1194	1089	1003	1294
C11orf85_sg3	C11orf85	729	924	1117	1266	1345	1086	871	883
C11orf85_sg4	C11orf85	1474	661	1556	1083	895	890	734	759
C11orf88_sg1	C11orf88	742	628	945	456	852	593	748	686
C11orf88_sg2	C11orf88	523	756	555	846	807	578	509	559
C11orf88_sg3	C11orf88	656	1050	523	593	734	952	797	669
C11orf88_sg4	C11orf88	454	517	433	318	603	633	401	588
C11orf95_sg1	C11orf95	667	814	282	520	575	643	505	628
C11orf95_sg2	C11orf95	578	492	504	533	501	408	503	453
C11orf95_sg3	C11orf95	830	561	776	745	896	807	922	627
C11orf95_sg4	C11orf95	606	414	583	637	420	546	717	258
C11orf96_sg1	C11orf96	120	296	138	236	162	200	191	178
C11orf96_sg2	C11orf96	212	197	195	237	194	212	205	260
C11orf96_sg3	C11orf96	144	194	123	205	178	145	259	165
C11orf96_sg4	C11orf96	214	203	211	140	162	230	160	180
C12orf43_sg1	C12orf43	275	178	184	233	238	260	188	182
C12orf43_sg2	C12orf43	290	295	244	212	244	175	244	148
C12orf43_sg3	C12orf43	392	241	454	335	279	319	198	336
C12orf43_sg4	C12orf43	317	425	252	227	312	276	234	244
C12orf54_sg1	C12orf54	511	743	744	393	780	478	374	473
C12orf54_sg2	C12orf54	512	592	579	701	769	419	693	793
C12orf54_sg3	C12orf54	822	700	636	673	536	432	349	492
C12orf54_sg4	C12orf54	1071	716	539	903	1092	624	950	991
C12orf57_sg1	C12orf57	300	394	411	431	304	582	361	624
C12orf57_sg2	C12orf57	289	448	473	463	678	568	467	346
C12orf57_sg3	C12orf57	324	397	255	332	227	294	344	340
C12orf57_sg4	C12orf57	355	564	448	312	490	285	483	404
C12orf60_sg1	C12orf60	467	493	896	1018	879	573	1326	763
C12orf60_sg2	C12orf60	1063	1316	715	951	1298	871	680	756
C12orf60_sg3	C12orf60	977	1137	1125	813	1290	692	861	970
C12orf60_sg4	C12orf60	865	850	594	672	635	1110	779	423
C12orf75_sg1	C12orf75	706	755	581	832	866	753	642	834
C12orf75_sg2	C12orf75	815	961	909	642	688	787	866	781
C12orf75_sg3	C12orf75	854	938	707	762	574	640	1033	548
C12orf75_sg4	C12orf75	939	1576	1641	937	1055	774	753	973
C12orf76_sg1	C12orf76	956	1285	788	944	791	730	703	963
C12orf76_sg2	C12orf76	586	872	1195	1129	880	735	806	611
C12orf76_sg3	C12orf76	918	761	591	674	748	705	957	902
C12orf76_sg4	C12orf76	708	1106	1075	991	816	916	620	614
C13orf45_sg1	C13orf45	263	147	165	256	220	180	197	133
C13orf45_sg2	C13orf45	183	267	164	164	162	185	89	175
C13orf45_sg3	C13orf45	128	143	137	190	88	189	109	109
C13orf45_sg4	C13orf45	182	266	165	196	143	264	209	134
C14orf1_sg1	C14orf1	669	865	555	614	702	687	838	958
C14orf1_sg2	C14orf1	675	995	783	736	1007	801	1007	1175
C14orf1_sg3	C14orf1	499	635	635	663	677	611	492	701
C14orf1_sg4	C14orf1	592	772	1257	994	893	911	749	969
C14orf132_sg1	C14orf132	384	361	249	342	486	312	392	413
C14orf132_sg2	C14orf132	403	391	384	554	344	524	394	425
C14orf132_sg3	C14orf132	297	503	554	461	234	468	508	482
C14orf132_sg4	C14orf132	340	208	310	446	428	388	295	376
C14orf166B_sg1	C14orf166B	572	323	722	988	782	384	528	629
C14orf166B_sg2	C14orf166B	390	511	708	561	309	558	400	346
C14orf166B_sg3	C14orf166B	699	467	353	665	705	320	581	514
C14orf166B_sg4	C14orf166B	714	612	513	444	354	666	321	523
C14orf169_sg1	C14orf169	509	1163	1104	1009	1285	834	1109	1146
C14orf169_sg2	C14orf169	921	1131	1176	1082	1217	1138	1305	429
C14orf169_sg3	C14orf169	1303	985	1286	1183	883	1013	1089	1015
C14orf169_sg4	C14orf169	1279	1324	1162	1123	1106	535	1132	662
C14orf180_sg1	C14orf180	415	402	393	363	407	491	454	557
C14orf180_sg2	C14orf180	301	345	236	299	370	601	269	266
C14orf180_sg3	C14orf180	465	322	376	360	351	428	445	507
C14orf180_sg4	C14orf180	334	473	352	482	239	323	395	373
C14orf80_sg1	C14orf80	1307	1286	943	1094	1126	1143	1336	1097
C14orf80_sg2	C14orf80	947	746	678	697	1296	872	1059	1096
C14orf80_sg3	C14orf80	1312	808	1150	791	1268	799	1164	1099
C14orf80_sg4	C14orf80	1581	1209	762	562	1499	882	664	1413
C15orf38_sg1	C15orf38	1178	1008	1213	1119	1155	1713	1260	1531
C15orf38_sg2	C15orf38	1334	1230	1333	1261	1483	1483	914	1223
C15orf38_sg3	C15orf38	907	1449	515	1081	979	1356	1070	1128
C15orf38_sg4	C15orf38	1387	1168	1148	751	1084	1576	1167	1120
C15orf40_sg1	C15orf40	674	621	553	688	539	566	493	243
C15orf40_sg2	C15orf40	538	986	797	738	973	1008	663	633
C15orf40_sg3	C15orf40	935	644	758	881	551	884	647	460
C15orf40_sg4	C15orf40	705	413	707	790	705	802	542	556
C15orf43_sg1	C15orf43	619	735	714	726	612	517	766	571
C15orf43_sg2	C15orf43	840	696	644	761	652	688	447	999
C15orf43_sg3	C15orf43	665	629	869	656	670	727	524	327
C15orf43_sg4	C15orf43	812	555	456	779	741	621	780	808
C15orf56_sg1	C15orf56	463	293	296	279	473	297	242	430
C15orf56_sg2	C15orf56	437	467	431	401	311	339	294	254
C15orf56_sg3	C15orf56	484	472	499	313	488	396	385	483
C15orf56_sg4	C15orf56	338	469	444	609	442	595	201	350
C15orf60_sg1	C15orf60	479	380	753	955	470	772	577	547
C15orf60_sg2	C15orf60	724	361	532	560	496	638	588	907
C15orf60_sg3	C15orf60	495	588	636	434	704	426	808	613
C15orf60_sg4	C15orf60	713	661	384	646	774	727	466	443
C16orf52_sg1	C16orf52	1159	722	787	554	1118	917	678	984
C16orf52_sg2	C16orf52	785	900	980	1162	1234	890	959	559
C16orf52_sg3	C16orf52	866	786	1103	772	795	647	1204	999
C16orf52_sg4	C16orf52	821	749	739	1218	974	813	750	815
C16orf55_sg1	C16orf55	480	442	765	771	783	659	444	649
C16orf55_sg2	C16orf55	620	469	531	919	503	578	676	517
C16orf55_sg3	C16orf55	766	846	825	1036	552	971	776	596
C16orf55_sg4	C16orf55	381	595	392	405	605	566	425	467
C16orf58_sg1	C16orf58	1142	1008	1310	837	544	747	1179	939
C16orf58_sg2	C16orf58	684	679	870	708	511	544	579	919
C16orf58_sg3	C16orf58	529	896	547	707	410	545	324	260
C16orf58_sg4	C16orf58	785	914	569	1072	758	505	797	810
C16orf59_sg1	C16orf59	661	743	857	561	486	573	541	661
C16orf59_sg2	C16orf59	743	502	435	624	549	596	357	545
C16orf59_sg3	C16orf59	989	949	1118	503	949	1275	484	705
C16orf59_sg4	C16orf59	1021	582	910	753	387	610	742	1331
C16orf71_sg1	C16orf71	353	260	233	182	208	228	242	332
C16orf71_sg2	C16orf71	233	325	281	175	282	151	206	301
C16orf71_sg3	C16orf71	284	300	249	233	279	223	331	253
C16orf71_sg4	C16orf71	253	271	279	129	298	348	324	206
C16orf86_sg1	C16orf86	817	989	537	565	683	720	723	407
C16orf86_sg2	C16orf86	860	771	805	749	892	627	980	926
C16orf86_sg3	C16orf86	473	351	433	561	499	583	681	748
C16orf86_sg4	C16orf86	526	1271	451	815	481	748	648	663
C16orf93_sg1	C16orf93	381	343	451	199	231	288	248	251
C16orf93_sg2	C16orf93	300	526	278	358	254	186	322	266
C16orf93_sg3	C16orf93	425	374	474	431	312	341	356	565
C16orf93_sg4	C16orf93	705	765	480	557	405	526	604	611
C16orf96_sg1	C16orf96	460	701	714	643	523	983	646	632
C16orf96_sg2	C16orf96	812	752	483	795	388	1081	977	801
C16orf96_sg3	C16orf96	974	958	747	841	997	1244	1068	1100
C16orf96_sg4	C16orf96	663	730	684	751	1396	704	1097	1132
C16orf97_sg1	C16orf97	1083	869	885	809	549	1153	912	932
C16orf97_sg2	C16orf97	796	1015	793	992	673	817	798	516
C16orf97_sg3	C16orf97	817	1252	927	720	1026	1170	908	880
C16orf97_sg4	C16orf97	679	871	828	776	1072	1016	641	1196
C17orf104_sg1	C17orf104	475	553	519	816	428	728	414	563
C17orf104_sg2	C17orf104	636	509	709	303	349	453	422	367
C17orf104_sg3	C17orf104	622	1163	718	647	575	557	507	907
C17orf104_sg4	C17orf104	426	477	499	582	579	598	395	593
C17orf107_sg1	C17orf107	1031	1141	580	896	820	618	808	1187
C17orf107_sg2	C17orf107	1016	1040	734	1018	806	940	477	897
C17orf107_sg3	C17orf107	1109	1237	802	582	921	1043	1189	732
C17orf107_sg4	C17orf107	998	795	1065	786	1263	748	907	1030
C17orf49_sg1	C17orf49	529	755	1216	1146	810	837	1113	782
C17orf49_sg2	C17orf49	861	629	815	632	1019	1294	686	1690
C17orf49_sg3	C17orf49	997	1079	945	2029	1056	1355	1256	936
C17orf49_sg4	C17orf49	1238	1162	1003	1049	1212	1270	1226	1340
C17orf62_sg1	C17orf62	1030	589	1008	601	739	875	1460	926
C17orf62_sg2	C17orf62	910	831	661	734	965	1459	882	615
C17orf62_sg3	C17orf62	695	774	890	831	810	1238	863	923
C17orf62_sg4	C17orf62	1197	747	913	688	1192	1137	1040	1067
C17orf64_sg1	C17orf64	457	702	612	718	357	637	615	491
C17orf64_sg2	C17orf64	416	304	430	275	467	487	457	499
C17orf64_sg3	C17orf64	433	574	395	565	603	588	550	532
C17orf64_sg4	C17orf64	644	659	550	772	898	636	387	610
C17orf67_sg1	C17orf67	1076	917	1003	1124	1731	1467	1438	1687
C17orf67_sg2	C17orf67	1219	1007	1121	946	1235	1158	1200	860
C17orf67_sg3	C17orf67	833	1178	889	1021	1059	924	2138	2199
C17orf67_sg4	C17orf67	1033	1188	980	989	984	1374	1660	610
C17orf72_sg1	C17orf72	774	737	855	875	592	431	515	645
C17orf72_sg2	C17orf72	800	582	645	1090	560	556	693	553
C17orf72_sg3	C17orf72	1228	510	943	847	763	777	894	613
C17orf72_sg4	C17orf72	661	909	840	520	519	832	459	847
C17orf74_sg1	C17orf74	206	207	300	143	269	197	200	240
C17orf74_sg2	C17orf74	133	264	248	140	123	251	176	201
C17orf74_sg3	C17orf74	138	171	174	192	192	218	174	146
C17orf74_sg4	C17orf74	293	160	184	227	258	330	137	245
C17orf80_sg1	C17orf80	821	583	338	890	687	816	855	772
C17orf80_sg2	C17orf80	826	838	1023	639	741	606	719	673
C17orf80_sg3	C17orf80	708	738	839	535	488	641	577	667
C17orf80_sg4	C17orf80	983	369	1107	615	633	619	594	651
C17orf82_sg1	C17orf82	812	762	1099	916	869	635	785	928
C17orf82_sg2	C17orf82	1008	1180	1201	861	1101	1067	873	1111
C17orf82_sg3	C17orf82	657	1294	723	828	1125	610	1238	526
C17orf82_sg4	C17orf82	1106	901	733	1059	1106	858	1000	812
C17orf85_sg1	C17orf85	654	500	415	427	504	617	628	632
C17orf85_sg2	C17orf85	690	667	287	583	542	359	500	468
C17orf85_sg3	C17orf85	560	455	558	456	429	431	391	493
C17orf85_sg4	C17orf85	635	374	572	544	393	607	287	534
C18orf21_sg1	C18orf21	652	806	1140	1007	1106	1593	1025	1077
C18orf21_sg2	C18orf21	1062	1665	1218	1388	859	852	1005	558
C18orf21_sg3	C18orf21	666	806	1166	1217	911	1174	1427	1535
C18orf21_sg4	C18orf21	981	1588	1899	1462	1210	1250	1038	1530
C18orf25_sg1	C18orf25	1184	1465	1096	634	1056	432	815	797
C18orf25_sg2	C18orf25	982	768	849	833	784	648	891	728
C18orf25_sg3	C18orf25	873	1412	1199	824	1178	1009	1098	745
C18orf25_sg4	C18orf25	844	1020	1061	872	776	853	598	1061
C18orf54_sg1	C18orf54	775	694	643	1357	1068	673	1018	1488
C18orf54_sg2	C18orf54	868	725	731	654	884	801	1153	945
C18orf54_sg3	C18orf54	778	668	601	824	825	1109	717	798
C18orf54_sg4	C18orf54	876	377	582	820	519	700	1057	570
C19orf10_sg1	C19orf10	234	357	154	196	249	161	246	270
C19orf10_sg2	C19orf10	247	216	231	265	254	306	245	270
C19orf10_sg3	C19orf10	258	243	219	228	244	180	178	227
C19orf10_sg4	C19orf10	255	269	216	417	334	198	243	230
C19orf24_sg1	C19orf24	1602	1577	1496	1086	939	1287	1576	2121
C19orf24_sg2	C19orf24	633	1242	1096	1055	705	1291	1025	1178
C19orf24_sg3	C19orf24	741	1155	1805	1747	1655	2164	1536	995
C19orf24_sg4	C19orf24	843	1083	1106	878	1035	1043	643	994
C19orf25_sg1	C19orf25	595	492	714	859	481	455	553	811
C19orf25_sg2	C19orf25	344	787	578	475	824	535	416	588
C19orf25_sg3	C19orf25	401	500	568	343	399	497	392	723
C19orf25_sg4	C19orf25	705	498	466	543	262	328	667	624
C19orf33_sg1	C19orf33	884	708	939	707	793	905	852	1161
C19orf33_sg2	C19orf33	782	452	655	599	727	674	746	590
C19orf33_sg3	C19orf33	533	1061	786	1111	598	1062	1680	1003
C19orf33_sg4	C19orf33	627	538	572	572	689	542	535	1007
C19orf35_sg1	C19orf35	372	303	320	359	275	290	296	329
C19orf35_sg2	C19orf35	409	298	275	427	399	406	430	336
C19orf35_sg3	C19orf35	263	422	287	507	290	268	259	357
C19orf35_sg4	C19orf35	640	536	364	463	407	345	362	369
C19orf38_sg1	C19orf38	990	777	836	754	641	541	530	713
C19orf38_sg2	C19orf38	1344	1241	1036	698	857	607	1301	903
C19orf38_sg3	C19orf38	1745	1234	2023	728	1248	1133	694	1001
C19orf38_sg4	C19orf38	1220	768	1468	1693	1032	1077	759	890
C19orf40_sg1	C19orf40	573	810	669	971	543	618	1070	1130
C19orf40_sg2	C19orf40	864	686	647	613	701	968	730	508
C19orf40_sg3	C19orf40	888	525	801	733	962	655	1223	1260
C19orf40_sg4	C19orf40	668	699	960	963	861	750	924	645
C19orf45_sg1	C19orf45	994	1081	1055	828	1078	1199	573	989
C19orf45_sg2	C19orf45	818	682	1495	552	1150	1080	782	1120
C19orf45_sg3	C19orf45	562	869	619	905	743	1184	822	915
C19orf45_sg4	C19orf45	557	669	724	585	1140	760	609	696
C19orf55_sg1	C19orf55	149	166	153	317	251	171	282	260
C19orf55_sg2	C19orf55	205	181	250	264	244	172	356	263
C19orf55_sg3	C19orf55	145	191	200	237	285	246	253	353
C19orf55_sg4	C19orf55	167	159	196	154	241	190	253	239
C19orf59_sg1	C19orf59	499	875	451	583	692	495	433	380
C19orf59_sg2	C19orf59	526	603	350	805	275	540	635	477
C19orf59_sg3	C19orf59	1017	1077	742	760	733	806	686	744
C19orf59_sg4	C19orf59	774	726	614	952	353	700	480	531
C19orf70_sg1	C19orf70	259	334	282	224	277	339	324	178
C19orf70_sg2	C19orf70	249	266	230	182	211	225	425	147
C19orf70_sg3	C19orf70	316	266	231	284	368	242	383	361
C19orf70_sg4	C19orf70	352	196	258	228	290	296	253	270
C19orf80_sg1	C19orf80	522	476	390	543	387	449	511	619
C19orf80_sg2	C19orf80	491	517	469	512	556	299	671	651
C19orf80_sg3	C19orf80	645	446	185	830	656	286	590	628
C19orf80_sg4	C19orf80	531	483	1243	622	808	950	714	384
C19orf81_sg1	C19orf81	706	513	430	718	533	514	304	403
C19orf81_sg2	C19orf81	472	595	505	378	419	394	405	455
C19orf81_sg3	C19orf81	442	675	413	298	619	343	441	577
C19orf81_sg4	C19orf81	496	509	493	560	411	429	477	482
C1orf101_sg1	C1orf101	449	438	276	249	201	279	351	353
C1orf101_sg2	C1orf101	511	508	404	309	389	304	480	216
C1orf101_sg3	C1orf101	461	437	312	344	393	294	521	358
C1orf101_sg4	C1orf101	417	648	320	324	298	284	287	356
C1orf109_sg1	C1orf109	1061	796	1518	1936	1987	1183	1245	946
C1orf109_sg2	C1orf109	1122	894	757	931	642	954	1359	1027
C1orf109_sg3	C1orf109	1390	1043	1775	1374	1400	802	1233	823
C1orf109_sg4	C1orf109	1264	940	1129	1492	1193	925	900	1234
C1orf112_sg1	C1orf112	307	231	228	185	165	144	176	199
C1orf112_sg2	C1orf112	239	271	278	186	234	167	186	155
C1orf112_sg3	C1orf112	183	242	202	269	222	90	187	178
C1orf112_sg4	C1orf112	369	208	335	292	240	255	237	278
C1orf158_sg1	C1orf158	250	282	283	239	260	244	279	236
C1orf158_sg2	C1orf158	224	230	283	170	270	275	351	306
C1orf158_sg3	C1orf158	217	230	206	175	235	169	224	139
C1orf158_sg4	C1orf158	281	192	112	154	259	205	232	180
C1orf162_sg1	C1orf162	274	236	207	130	139	148	143	123
C1orf162_sg2	C1orf162	213	257	196	339	228	214	179	223
C1orf162_sg3	C1orf162	180	239	162	185	165	164	112	155
C1orf162_sg4	C1orf162	267	206	267	332	213	120	277	196
C1orf168_sg1	C1orf168	594	506	562	569	551	311	369	446
C1orf168_sg2	C1orf168	508	494	292	282	582	362	409	441
C1orf168_sg3	C1orf168	563	637	434	429	555	367	632	336
C1orf168_sg4	C1orf168	257	492	283	373	665	479	345	480
C1orf172_sg1	C1orf172	665	489	565	562	548	460	589	492
C1orf172_sg2	C1orf172	693	665	382	816	462	611	385	523
C1orf172_sg3	C1orf172	555	773	586	385	508	617	741	413
C1orf172_sg4	C1orf172	368	459	428	733	518	526	547	580
C1orf173_sg1	C1orf173	1223	923	959	1060	761	1078	620	631
C1orf173_sg2	C1orf173	762	1177	1084	1196	921	741	1002	886
C1orf173_sg3	C1orf173	1116	1455	857	1073	1116	656	876	854
C1orf173_sg4	C1orf173	829	1240	958	1212	852	898	626	1315
C1orf174_sg1	C1orf174	250	201	367	223	212	335	522	334
C1orf174_sg2	C1orf174	210	191	132	247	148	147	216	273
C1orf174_sg3	C1orf174	320	414	440	275	428	331	286	413
C1orf174_sg4	C1orf174	320	319	503	271	345	299	315	376
C1orf177_sg1	C1orf177	422	377	496	669	509	465	469	401
C1orf177_sg2	C1orf177	809	600	567	673	541	290	440	520
C1orf177_sg3	C1orf177	395	497	404	581	331	259	384	480
C1orf177_sg4	C1orf177	790	529	798	516	639	584	365	481
C1orf186_sg1	C1orf186	236	289	451	336	299	327	407	207
C1orf186_sg2	C1orf186	299	416	318	305	201	236	335	284
C1orf186_sg3	C1orf186	400	572	453	402	377	382	232	436
C1orf186_sg4	C1orf186	398	325	287	342	269	293	298	293
C1orf189_sg1	C1orf189	594	872	933	519	1007	762	1126	599
C1orf189_sg2	C1orf189	529	429	419	807	518	524	651	465
C1orf189_sg3	C1orf189	835	530	831	833	536	660	891	661
C1orf189_sg4	C1orf189	650	807	668	523	608	535	515	751
C1orf192_sg1	C1orf192	335	374	359	345	307	243	577	488
C1orf192_sg2	C1orf192	425	381	346	246	371	267	286	319
C1orf192_sg3	C1orf192	423	345	290	366	385	413	374	202
C1orf192_sg4	C1orf192	349	378	342	448	368	302	284	290
